iter	Logloss	Accuracy	Precision	Recall	F1
31	0.4103882049	0.8159284844	0.7111344538	0.5175840979	0.5991150442
32	0.4089275342	0.8159284844	0.710251046	0.5191131498	0.5998233216
33	0.4074890763	0.8165379927	0.7107180021	0.5221712538	0.6020273248
34	0.4063718606	0.8177570093	0.7129533679	0.5259938838	0.6053673559
35	0.404959648	0.8169443316	0.7126436782	0.5214067278	0.6022075055
36	0.4038279654	0.817147501	0.713836478	0.5206422018	0.6021220159
37	0.4028744872	0.8167411621	0.7123430962	0.5206422018	0.601590106
38	0.4018717083	0.8163348232	0.7104166667	0.5214067278	0.6014109347
39	0.4006058533	0.817147501	0.7129436326	0.5221712538	0.6028243601
40	0.3997857074	0.8175538399	0.7139874739	0.5229357798	0.6037069726
41	0.3987675632	0.8181633482	0.7157784744	0.5237003058	0.6048565121
42	0.3978312125	0.8187728566	0.7162162162	0.5267584098	0.6070484581
43	0.3969137824	0.8185696871	0.7141382869	0.5290519878	0.6078173035
44	0.3960735849	0.8197887038	0.7163412127	0.5328746177	0.6111354669
45	0.3952339303	0.8193823649	0.7157569516	0.5313455657	0.6099166301
46	0.3945231297	0.8193823649	0.7166494312	0.5298165138	0.6092307692
47	0.3938219343	0.8203982121	0.7181069959	0.5336391437	0.6122807018
48	0.3933091407	0.8206013816	0.7179487179	0.5351681957	0.6132282085
49	0.3928765535	0.8203982121	0.7167689162	0.5359327217	0.6132983377
50	0.3922500767	0.8220235677	0.7204081633	0.5397553517	0.6171328671
51	0.391573128	0.8214140593	0.7191011236	0.5382262997	0.6156536948
52	0.3908449306	0.8224299065	0.7214285714	0.5405198777	0.618006993
53	0.3903320145	0.8216172288	0.7189409369	0.5397553517	0.6165938865
54	0.3898453155	0.8224299065	0.7205284553	0.5420489297	0.6186736475
55	0.3892111626	0.8224299065	0.7205284553	0.5420489297	0.6186736475
56	0.388747126	0.8230394149	0.7213779129	0.5443425076	0.6204793028
57	0.3882514694	0.8234457538	0.721493441	0.5466360856	0.6220095694
58	0.3874703658	0.8246647704	0.7245206862	0.5489296636	0.6246193997
59	0.3867809848	0.8246647704	0.7245206862	0.5489296636	0.6246193997
60	0.3861724241	0.8250711093	0.7250755287	0.5504587156	0.6258148631
61	0.3857341012	0.824461601	0.7228915663	0.5504587156	0.625
62	0.3850425424	0.8252742787	0.7253521127	0.5512232416	0.6264118158
63	0.3844254169	0.8252742787	0.7248995984	0.5519877676	0.6267361111
64	0.383823376	0.8260869565	0.7264529058	0.5542813456	0.6287944493
65	0.3833964821	0.8271028037	0.7282717283	0.5573394495	0.6314421828
66	0.382991686	0.8266964649	0.7268195414	0.5573394495	0.6308957161
67	0.3823478661	0.8275091426	0.7279046673	0.5603975535	0.6332613391
68	0.381931934	0.8279154815	0.728897716	0.5611620795	0.63412527
69	0.38117983	0.8279154815	0.728897716	0.5611620795	0.63412527
70	0.3810073877	0.828118651	0.7287128713	0.5626911315	0.6350301984
71	0.3805461984	0.8279154815	0.7275419546	0.5634556575	0.63507109
72	0.3801313668	0.8279154815	0.7270935961	0.5642201835	0.6353852777
73	0.3797345258	0.8279154815	0.7270935961	0.5642201835	0.6353852777
74	0.3793435346	0.828118651	0.7278106509	0.5642201835	0.6356589147
75	0.3789459621	0.8283218204	0.7271835132	0.5665137615	0.6368715084
76	0.3784298629	0.8275091426	0.7252208047	0.5649847095	0.6351525569
77	0.3779689174	0.8277123121	0.7263779528	0.5642201835	0.6351118761
78	0.3775466867	0.8283218204	0.7276302852	0.5657492355	0.6365591398
79	0.3771564831	0.8283218204	0.7271835132	0.5665137615	0.6368715084
80	0.3767052012	0.8279154815	0.7257590597	0.5665137615	0.6363246028
81	0.3761734478	0.8287281593	0.7277179236	0.5680428135	0.6380420781
82	0.3758505371	0.8291344982	0.7291462218	0.5680428135	0.6385904598
